"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
3244,151,0.968656111114678,0.998580388533646,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
3791,176,0.982524790166574,0.997349958672402,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
4431,205,1.02862243979297,0.998620818383022,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
5178,239,1.03818965984844,0.99898586352212,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
6051,289,1.02764068582467,0.99840983487497,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
7071,340,1.00924495342615,0.997755677592144,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
8263,393,0.97983314626662,0.997663824934394,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
9657,452,0.957785423587366,0.999458114756816,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
11285,525,0.96813103583109,0.999061820551013,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
13188,607,0.994021958229931,0.999082814048295,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
15412,718,1.00719201673261,0.999592561157167,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
18011,843,1.0089634904872,0.99963985732257,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
21049,992,1.00218453905981,0.999489524857816,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
24598,1147,0.9788804175362,0.999629140941669,"Simon reinforcement",4,2004,"Zipf-compatible / mimicking"
